data	target	positive_counts	negative_counts	A:I_ratio	ML_model	num_trials	best_trial	tp(train)	fp(train)	fn(train)	tn(train)	tp	fp	fn	tn	balanced_accuracy(train)	balanced_accuracy	precision(train)	precision	recall(train)	recall	f1_score(train)	f1_score(validation)	f1_score	roc_auc_score(train)	roc_auc_score	mcc(train)	mcc	pr_auc_score(train)	pr_auc_score	time
ECFP4 fingerprints	A0A5F9DUN4	11 (0.27%)	4089 (446072.73%)	0.0027	GradientBoosting	200	190	8	8	0	80	2	1	1	21	0.9545454545454546	0.8106060606060606	0.5	0.6666666666666666	1.0	0.6666666666666666	0.6666666666666666	0.6533333333333333	0.6666666666666666	0.9545454545454544	0.9696969696969696	0.674199862463242	0.6212121212121212	0.5	0.8055555555555556	0.9152010997136434
ECFP4 fingerprints	A0A5F9DUN4	11 (0.27%)	4089 (446072.73%)	0.0027	XGBoost	200	167	0	0	8	88	0	0	3	22	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.4968253968253968	0.0	0.5	0.9393939393939392	0.0	0.0	0.0833333333333333	0.8095238095238095	15.670237652460736
ECFP4 fingerprints	A5X5Y0	15 (0.37%)	4085 (435733.33%)	0.0037	GradientBoosting	200	57	9	5	4	114	1	2	1	29	0.8251454427925016	0.717741935483871	0.6428571428571429	0.3333333333333333	0.6923076923076923	0.5	0.6666666666666666	0.4476190476190476	0.4	0.8251454427925016	0.8870967741935484	0.6292856123413488	0.3614486980061245	0.4753579753579754	0.6111111111111112	4.188941355546316
ECFP4 fingerprints	A5X5Y0	15 (0.37%)	4085 (435733.33%)	0.0037	XGBoost	200	26	12	1	1	118	1	0	1	31	0.9573367808661928	0.75	0.9230769230769232	1.0	0.9230769230769232	0.5	0.9230769230769232	0.4742857142857143	0.6666666666666666	0.9573367808661928	1.0	0.9146735617323852	0.6959705453537528	0.8596467634929175	1.0	27.625792268912
ECFP4 fingerprints	A6YCJ1	10 (0.24%)	4090 (449900.0%)	0.0024	GradientBoosting	200	32	7	5	1	75	2	1	0	19	0.90625	0.975	0.5833333333333334	0.6666666666666666	0.875	1.0	0.7000000000000001	0.7333333333333333	0.8	0.90625	1.0	0.6806376009740052	0.7958224257542214	0.5217803030303031	1.0	3.089373354117076
ECFP4 fingerprints	A6YCJ1	10 (0.24%)	4090 (449900.0%)	0.0024	XGBoost	200	16	8	1	0	79	2	0	0	20	0.99375	1.0	0.8888888888888888	1.0	1.0	1.0	0.9411764705882352	0.4666666666666666	1.0	0.99375	1.0	0.936897954837013	1.0	0.8888888888888888	1.0	12.21766680876414
ECFP4 fingerprints	B0FL73	13 (0.32%)	4087 (440138.46%)	0.0032	GradientBoosting	200	46	9	1	0	104	4	1	0	24	0.9952380952380953	0.98	0.9	0.8	1.0	1.0	0.9473684210526316	1.0	0.888888888888889	0.9952380952380953	0.99	0.9441549509633318	0.8763560920082657	0.9	0.95	2.1147555430730183
ECFP4 fingerprints	B0FL73	13 (0.32%)	4087 (440138.46%)	0.0032	XGBoost	200	8	9	0	0	105	4	0	0	25	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9333333333333332	1.0	1.0	1.0	1.0	1.0	1.0	1.0	13.859965630372365
ECFP4 fingerprints	C4YTQ8	46 (1.12%)	4054 (414213.04%)	0.0113	GradientBoosting	200	82	23	149	14	218	5	32	4	61	0.6078135356064511	0.6057347670250897	0.1337209302325581	0.1351351351351351	0.6216216216216216	0.5555555555555556	0.2200956937799042	0.241863813693082	0.2173913043478261	0.6078135356064511	0.6260454002389486	0.1257850313457448	0.124753574189807	0.1177772868424491	0.1464988913236387	3.662106116612752
ECFP4 fingerprints	C4YTQ8	46 (1.12%)	4054 (414213.04%)	0.0113	XGBoost	200	106	18	7	19	360	1	1	8	92	0.7337064585020989	0.5501792114695341	0.72	0.5	0.4864864864864865	0.1111111111111111	0.5806451612903226	0.1771428571428571	0.1818181818181818	0.7337064585020988	0.6499402628434886	0.5595578526118572	0.2053059610298946	0.3972999732405673	0.3065857814801052	26.746162390708925
